0,2.73,1.43
0.1,2.5727,1.4575
0.2,2.4319,1.4886
0.3,2.3059,1.5233
0.4,2.1931,1.5612
0.5,2.0923,1.6023
0.6,2.0023,1.6465
0.7,1.9217,1.6937
0.8,1.8498,1.7437
0.9,1.7859,1.7964
1,1.7288,1.8519
1.1,1.6781,1.9099
1.2,1.6333,1.9704
1.3,1.5935,2.0334
1.4,1.5585,2.0987
1.5,1.5278,2.1663
1.6,1.501,2.2361
1.7,1.4776,2.3079
1.8,1.4576,2.3817
1.9,1.4404,2.4573
2,1.4259,2.5347
2.1,1.4139,2.6138
2.2,1.404,2.6943
2.3,1.3962,2.7763
2.4,1.3903,2.8595
2.5,1.386,2.9438
2.6,1.3833,3.0291
2.7,1.382,3.1152
2.8,1.3819,3.2021
2.9,1.383,3.2894
3,1.3851,3.3771
3.1,1.3882,3.4651
3.2,1.392,3.5532
3.3,1.3966,3.6411
3.4,1.4018,3.7289
3.5,1.4075,3.8163
3.6,1.4137,3.9032
3.7,1.4203,3.9895
3.8,1.4271,4.075
3.9,1.4342,4.1596
4,1.4415,4.2432
4.1,1.4488,4.3257
4.2,1.4562,4.407
4.3,1.4635,4.4868
4.4,1.4708,4.5601
4.5,1.4779,4.6247
4.6,1.4847,4.6807
4.7,1.4911,4.7289
4.8,1.497,4.7704
4.9,1.5025,4.8053
5,1.5073,4.8339
5.1,1.5117,4.858
5.2,1.5155,4.8778
5.3,1.5186,4.8935
5.4,1.5213,4.9058
5.5,1.5234,4.9154
5.6,1.5251,4.9226
5.7,1.5262,4.9273
5.8,1.5269,4.9304
5.9,1.5272,4.932
6,1.5272,4.9323
6.1,1.5268,4.9313
6.2,1.5261,4.9295
6.3,1.5251,4.9269
6.4,1.5239,4.9236
6.5,1.5224,4.9197
6.6,1.5208,4.9155
6.7,1.519,4.9109
6.8,1.517,4.906
6.9,1.5149,4.9008
7,1.5127,4.8956
7.1,1.5104,4.8902
7.2,1.508,4.8847
7.3,1.5055,4.8792
7.4,1.503,4.8736
7.5,1.5004,4.8681
7.6,1.4978,4.8626
7.7,1.4951,4.8572
7.8,1.4924,4.8518
7.9,1.4897,4.8465
8,1.487,4.8413
8.1,1.4842,4.8362
8.2,1.4814,4.8312
8.3,1.4787,4.8263
8.4,1.4759,4.8216
8.5,1.4731,4.817
8.6,1.4703,4.8125
8.7,1.4676,4.8082
8.8,1.4649,4.804
8.9,1.4623,4.8
9,1.4597,4.7961
9.1,1.4571,4.7924
9.2,1.4546,4.7889
9.3,1.4522,4.7854
9.4,1.4499,4.7821
9.5,1.4476,4.779
9.6,1.4453,4.776
9.7,1.4432,4.7732
9.8,1.4411,4.7704
9.9,1.4391,4.7679
